2  1.198714  0.372082
4  1.421712  0.149085
8  1.579180  0.008384
16  1.683457  0.112661
32  1.666012  0.095216
64  1.614909  0.044113
128  1.570955  0.000159
256  1.575254  0.004458
512  1.568203  0.002593
1024  1.588567  0.017770
2048  1.570746  0.000050
4096  1.577237  0.006440
8192  1.575103  0.004307
16384  1.572936  0.002140
32768  1.572428  0.001632
65536  1.573448  0.002652
131072  1.573269  0.002473
262144  1.572343  0.001546
524288  1.572014  0.001217
1048576  1.570981  0.000185
2097152  1.570755  0.000042
4194304  1.570724  0.000073
8388608  1.570906  0.000110
16777216  1.570873  0.000077
33554432  1.570840  0.000044
67108864  1.570847  0.000050
134217728  1.570796  0.000000
268435456  1.570793  0.000003
536870912  1.570792  0.000004
1073741824  1.570786  0.000010
