2  0.706062  0.293938
4  1.228840  0.228840
8  0.859505  0.140495
16  1.037349  0.037349
32  1.159953  0.159953
64  0.956636  0.043364
128  0.819549  0.180451
256  0.949911  0.050089
512  0.984584  0.015416
1024  0.997503  0.002497
2048  0.982209  0.017791
4096  0.963956  0.036044
8192  0.964252  0.035748
16384  0.988701  0.011299
32768  0.998651  0.001349
65536  1.000168  0.000168
131072  0.996391  0.003609
262144  0.996647  0.003353
524288  0.998165  0.001835
1048576  0.997879  0.002121
2097152  0.998326  0.001674
4194304  0.999986  0.000014
8388608  1.000087  0.000087
16777216  1.000314  0.000314
33554432  0.999843  0.000157
67108864  0.999966  0.000034
134217728  1.000125  0.000125
268435456  1.000037  0.000037
536870912  0.999956  0.000044
1073741824  0.999925  0.000075
