2  1.957615  0.386818
4  1.702422  0.131625
8  1.624762  0.053966
16  1.534043  0.036753
32  1.570906  0.000109
64  1.583108  0.012312
128  1.580603  0.009806
256  1.581256  0.010459
512  1.585425  0.014628
1024  1.580823  0.010026
2048  1.576636  0.005839
4096  1.577046  0.006249
8192  1.573510  0.002714
16384  1.570922  0.000126
32768  1.570277  0.000519
65536  1.570801  0.000004
131072  1.569927  0.000869
262144  1.569963  0.000833
524288  1.570540  0.000256
1048576  1.570842  0.000045
2097152  1.570898  0.000101
4194304  1.570851  0.000055
8388608  1.570767  0.000029
16777216  1.570827  0.000031
33554432  1.570874  0.000078
67108864  1.570745  0.000051
134217728  1.570792  0.000005
268435456  1.570799  0.000003
536870912  1.570789  0.000007
1073741824  1.570799  0.000002
