2  1.760442  0.189646
4  1.602830  0.032034
8  1.669984  0.099188
16  1.661460  0.090663
32  1.648066  0.077270
64  1.644927  0.074130
128  1.595906  0.025110
256  1.590685  0.019889
512  1.582654  0.011857
1024  1.588811  0.018015
2048  1.577359  0.006562
4096  1.570175  0.000622
8192  1.567598  0.003198
16384  1.569652  0.001144
32768  1.570870  0.000074
65536  1.571481  0.000685
131072  1.571512  0.000716
262144  1.571132  0.000335
524288  1.570594  0.000202
1048576  1.570774  0.000023
2097152  1.570733  0.000064
4194304  1.570774  0.000022
8388608  1.570750  0.000046
16777216  1.570753  0.000043
33554432  1.570799  0.000003
67108864  1.570822  0.000025
134217728  1.570762  0.000034
268435456  1.570797  0.000001
536870912  1.570786  0.000011
1073741824  1.570798  0.000002
