2  1.917438  0.346642
4  1.575314  0.004518
8  1.507360  0.063436
16  1.509849  0.060947
32  1.494537  0.076259
64  1.583565  0.012769
128  1.577492  0.006696
256  1.586579  0.015782
512  1.564051  0.006745
1024  1.566432  0.004364
2048  1.568711  0.002086
4096  1.571859  0.001062
8192  1.574653  0.003857
16384  1.574933  0.004137
32768  1.572956  0.002160
65536  1.572877  0.002080
131072  1.571371  0.000575
262144  1.570936  0.000139
524288  1.570583  0.000213
1048576  1.571176  0.000380
2097152  1.571137  0.000341
4194304  1.570702  0.000094
8388608  1.570735  0.000061
16777216  1.570809  0.000012
33554432  1.570802  0.000006
67108864  1.570784  0.000013
134217728  1.570816  0.000020
268435456  1.570763  0.000033
536870912  1.570789  0.000007
1073741824  1.570790  0.000006
