2  1.847492  0.276696
4  1.739257  0.168461
8  1.639088  0.068291
16  1.597153  0.026357
32  1.576239  0.005443
64  1.573382  0.002585
128  1.530913  0.039884
256  1.575908  0.005112
512  1.561436  0.009360
1024  1.567253  0.003544
2048  1.564246  0.006550
4096  1.566243  0.004554
8192  1.564220  0.006576
16384  1.570001  0.000796
32768  1.569624  0.001172
65536  1.570308  0.000488
131072  1.571010  0.000214
262144  1.570649  0.000148
524288  1.569930  0.000866
1048576  1.570087  0.000709
2097152  1.570361  0.000435
4194304  1.570593  0.000203
8388608  1.570625  0.000172
16777216  1.570719  0.000077
33554432  1.570723  0.000073
67108864  1.570707  0.000090
134217728  1.570838  0.000041
268435456  1.570790  0.000006
536870912  1.570788  0.000008
1073741824  1.570801  0.000005
