27  1000000  123.333456  10.13
24  1000000  123.574686  20.17
13  1000000  123.338099  30.20
9  1000000  123.585335  40.25
44  1000000  123.771112  50.45
42  1000000  123.431289  60.62
23  1000000  123.339529  70.49
26  1000000  123.881071  80.61
48  1000000  123.502227  91.00
33  1000000  123.785652  100.97
34  1000000  123.880831  110.99
11  1000000  123.409950  121.11
35  1000000  123.524059  131.59
37  1000000  123.244935  141.68
47  1000000  123.652353  151.99
12  1000000  123.607171  162.14
19  1000000  123.486939  172.17
8  1000000  123.665857  182.25
46  1000000  123.432370  192.24
17  1000000  123.238687  202.33
38  1000000  123.692149  212.32
29  1000000  123.300842  222.37
7  1000000  123.513458  232.69
22  1000000  123.420121  244.00
25  1000000  123.585384  254.99
41  1000000  123.627625  265.12
18  1000000  123.642582  275.11
53  1000000  123.657700  285.22
15  1000000  123.859330  295.21
50  1000000  123.715630  305.24
49  1000000  123.478081  315.22
14  1000000  123.560933  325.23
16  1000000  123.636445  335.25
51  1000000  123.623569  345.23
40  1000000  123.388060  355.60
30  1000000  123.430011  365.66
43  1000000  123.810043  375.71
21  1000000  123.268242  386.03
36  1000000  123.529776  396.04
10  1000000  123.501575  406.10
31  1000000  123.384037  416.16
20  1000000  123.525052  426.21
55  1000000  123.696385  436.36
54  1000000  123.516096  446.93
56  1000000  123.736896  457.35
45  1000000  123.377881  467.42
28  1000000  123.750599  477.45
52  1000000  124.060573  487.50
39  1000000  123.656622  497.47
32  1000000  123.497051  507.53
0  1000000  123.505084  517.49
61  1000000  123.120682  527.77
5  1000000  123.583637  538.01
60  1000000  123.562106  548.17
4  1000000  123.285383  558.38
58  1000000  123.529913  568.43
2  1000000  123.631816  578.41
59  1000000  123.587359  588.52
3  1000000  123.334735  598.50
62  1000000  123.643369  608.95
6  1000000  123.791420  619.01
57  1000000  123.709595  629.13
1  1000000  123.948984  639.19
